L2,generation
2.89024,903
3.43629,904
2.86043,905
2.86043,906
2.86043,907
2.8841,908
2.86043,909
2.86043,910
2.86043,911
2.86043,912
2.86043,913
2.79006,914
2.79006,915
2.79006,916
2.78518,917
2.78518,918
2.78518,919
2.78518,920
2.78518,921
2.78518,922
2.78518,923
2.89024,924
2.89024,925
2.89024,926
2.89024,927
2.89024,928
2.89024,929
2.91188,930
2.84433,931
2.91188,932
2.91188,933
2.91188,934
2.84433,935
2.84433,936
2.84433,937
2.91188,938
2.91188,939
2.91188,940
2.91188,941
2.91188,942
5.74903,943
5.42684,944
5.42684,945
5.97289,946
2.5432,947
2.5432,948
2.5432,949
2.5432,950
2.5432,951
2.5432,952
2.5432,953
2.5432,954
2.53825,955
2.53825,956
2.53825,957
2.53825,958
2.53825,959
2.53825,960
2.53825,961
2.53765,962
2.53765,963
2.53765,964
2.73817,965
2.73817,966
3.91334,967
3.91334,968
3.91334,969
2.75388,970
2.75388,971
2.75388,972
2.75388,973
2.94184,974
3.06749,975
3.06749,976
3.06749,977
3.06749,978
3.61354,979
2.73817,980
2.73817,981
2.73653,982
2.73653,983
2.65028,984
2.65028,985
2.65028,986
2.65028,987
2.65028,988
2.64439,989
2.64439,990
2.64439,991
2.66587,992
2.66587,993
2.74711,994
2.74711,995
2.74711,996
2.74711,997
2.76745,998
2.75269,999
2.75269,1000
2.75269,1001
2.76745,1002
2.76745,1003
3.07602,1004
3.07602,1005
3.07602,1006
3.07602,1007
3.01155,1008
3.01155,1009
3.01155,1010
3.01155,1011
3.01155,1012
2.98608,1013
2.98608,1014
2.98608,1015
3.01155,1016
3.01155,1017
3.01155,1018
3.01155,1019
3.01155,1020
3.5576,1021
2.73537,1022
2.70222,1023
2.5568,1024
2.5568,1025
2.5568,1026
2.5568,1027
2.70164,1028
2.5568,1029
2.5568,1030
2.5568,1031
2.5568,1032
2.70164,1033
2.65637,1034
2.70164,1035
2.70164,1036
2.70164,1037
2.88705,1038
2.88705,1039
2.88705,1040
2.88705,1041
3.01642,1042
3.01642,1043
3.21438,1044
3.23849,1045
3.23849,1046
3.21438,1047
3.21438,1048
3.21438,1049
3.21438,1050
3.21438,1051
3.21438,1052
3.21438,1053
3.21438,1054
3.21438,1055
3.21438,1056
3.76043,1057
2.92063,1058
2.92063,1059
2.91321,1060
2.92063,1061
2.93785,1062
2.93785,1063
2.93785,1064
2.93785,1065
3.01117,1066
2.93785,1067
2.93785,1068
2.92328,1069
2.92328,1070
2.92328,1071
2.92328,1072
2.92328,1073
3.10961,1074
3.02832,1075
3.01419,1076
3.01419,1077
3.01419,1078
3.01419,1079
3.01419,1080
3.01419,1081
3.10718,1082
3.10718,1083
3.10718,1084
3.10718,1085
3.10718,1086
3.10718,1087
3.10718,1088
3.10718,1089
3.44973,1090
3.44973,1091
3.44973,1092
3.44973,1093
3.49489,1094
3.49489,1095
4.31604,1096
3.47776,1097
3.43856,1098
3.43856,1099
3.11092,1100
3.11092,1101
3.11092,1102
3.11092,1103
3.11092,1104
3.11092,1105
3.11092,1106
3.11092,1107
3.11092,1108
