L2,generation
1.42929,1663
1.49233,1664
1.42929,1665
1.42929,1666
1.49233,1667
1.42929,1668
1.42929,1669
1.54933,1670
1.54933,1671
1.42929,1672
1.54933,1673
1.54933,1674
1.54933,1675
1.54933,1676
1.54933,1677
1.56546,1678
1.56546,1679
1.5586,1680
1.48044,1681
1.41608,1682
1.47992,1683
1.41608,1684
1.42929,1685
1.42929,1686
1.42929,1687
1.42929,1688
1.42929,1689
1.42929,1690
1.42929,1691
1.42929,1692
1.4728,1693
1.4728,1694
1.4728,1695
1.4728,1696
1.4728,1697
1.4728,1698
1.4728,1699
1.4728,1700
1.4728,1701
1.4728,1702
1.56546,1703
1.57817,1704
1.563,1705
1.37102,1706
1.37102,1707
1.37102,1708
1.37102,1709
1.37102,1710
1.37102,1711
1.37102,1712
1.37102,1713
1.37102,1714
1.37102,1715
1.37102,1716
1.37102,1717
1.37102,1718
1.5204,1719
1.5204,1720
1.5204,1721
1.48648,1722
1.48882,1723
1.49175,1724
1.48044,1725
1.38632,1726
1.38632,1727
1.38632,1728
1.38632,1729
1.38632,1730
1.38632,1731
1.38632,1732
1.38632,1733
1.38632,1734
1.38632,1735
1.38632,1736
1.49519,1737
1.48044,1738
1.48044,1739
1.48044,1740
1.48044,1741
1.48044,1742
1.48044,1743
1.48044,1744
1.52301,1745
1.52301,1746
1.52301,1747
1.52301,1748
1.52301,1749
1.52301,1750
1.52301,1751
1.53613,1752
1.5204,1753
1.48044,1754
1.47394,1755
1.46552,1756
1.46552,1757
1.46552,1758
1.46552,1759
1.46552,1760
1.46552,1761
1.46552,1762
1.48125,1763
1.48125,1764
1.48585,1765
1.41621,1766
1.49766,1767
1.49361,1768
1.49361,1769
1.49361,1770
1.51002,1771
1.34979,1772
1.34979,1773
1.34979,1774
1.34979,1775
1.34979,1776
1.34979,1777
1.34979,1778
1.34979,1779
1.38572,1780
1.38572,1781
1.38572,1782
1.38572,1783
1.38572,1784
1.40145,1785
1.40145,1786
1.40145,1787
1.40145,1788
1.40145,1789
1.40145,1790
1.40145,1791
1.40145,1792
1.40145,1793
1.47884,1794
1.47875,1795
1.34224,1796
1.34224,1797
1.36454,1798
1.34979,1799
1.34979,1800
1.34979,1801
1.34979,1802
1.34979,1803
1.34979,1804
1.34979,1805
1.34979,1806
1.34979,1807
1.44678,1808
1.4475,1809
1.36454,1810
1.34979,1811
1.34979,1812
1.34979,1813
1.34979,1814
1.34979,1815
1.34979,1816
1.34979,1817
1.34979,1818
1.34979,1819
1.34979,1820
1.34979,1821
1.34979,1822
1.34979,1823
1.39583,1824
1.38108,1825
1.38108,1826
1.38108,1827
1.38108,1828
1.38108,1829
1.38108,1830
1.38108,1831
1.38108,1832
1.38108,1833
1.38108,1834
1.38108,1835
1.39583,1836
1.37501,1837
1.37501,1838
1.38108,1839
1.38108,1840
1.38108,1841
1.38108,1842
1.38108,1843
1.38108,1844
1.38108,1845
1.39583,1846
1.37245,1847
1.37245,1848
1.37245,1849
1.37245,1850
1.37245,1851
1.37245,1852
1.37245,1853
1.37245,1854
1.37245,1855
1.37245,1856
1.37245,1857
1.37245,1858
1.37245,1859
1.37245,1860
1.37245,1861
1.37245,1862
1.37245,1863
1.37245,1864
1.37245,1865
1.37245,1866
1.39185,1867
1.37245,1868
1.37245,1869
1.40661,1870
